approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
3430,"A. D. M. Obrt Za Pečenje, Trgovinai Ugostiteljstvo, Vl. Martino Samardžić",Gospodarska zona Laminska,Štefanje,,Bjelovar-Bilogora,Croatia,EU-EFTA,RM,SH CP,Y,caprine ovine porcine bovine,SH - Slaughterhouse | CP - Cutting Plant,,
3702,AGRO TUBIĆ d.o.o.,"Okunska 45, Okunšćak",Dugo Selo,10370,Zagreb County,Croatia,EU-EFTA,RM,CP SH,Y,bovine caprine ovine equine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
57,AGROZELINA LOGISTIKA d.o.o.,Dedovići 3,Zagreb,10000,City of Zagreb,Croatia,EU-EFTA,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
835,ARMENTO d.o.o.,PUT MARCELINA 54,Kaštela,21216,Split-Dalmatia,Croatia,EU-EFTA,RM,SH,Y,bovine caprine ovine porcine,SH - Slaughterhouse,,
2627,AZRRI D.o.o.,Ulica prof. Tugomila Ujčića 1,Pazin,52000,Istria,Croatia,EU-EFTA,RM,CP,N,caprine ovine porcine bovine,CP - Cutting Plant,,
3615,BALKAN LOV D.o.o.,Borovik 5,Podgorač,31433,Osijek-Baranja,Croatia,EU-EFTA,RM,CP,N,porcine caprine ovine bovine equine,CP - Cutting Plant,,
263,BEBRINKA d.o.o.,Donja Bebrina b.b.,Ruščica,35208,,Croatia,EU-EFTA,RM,CP SH,Y,bovine caprine ovine porcine,Brod-Posavina | CP - Cutting Plant | SH - Slaughterhouse,,
592,BERKOVIĆ D.o.o.,Kantun Trviški 71d,Pazin,52000,Istria,Croatia,EU-EFTA,RM,CP,N,porcine caprine ovine bovine,CP - Cutting Plant,,
1526,BERMES d.o.o.,Zagorska 14,Donja Pušća,10294,Zagreb County,Croatia,EU-EFTA,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
312,BPB TRADE d.o.o.,Tomašica 11,Garešnica,43280,Bjelovar-Bilogora,Croatia,EU-EFTA,RM,CP SH,Y,bovine caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
815,BRAĆA SIMUNIĆI D.O.O.,Naklice 79,Tugare,21252,Split-Dalmatia,Croatia,EU-EFTA,RM,SH,Y,bovine caprine ovine porcine,SH - Slaughterhouse,,
2793,BRČIĆ d.o.o.,Kolodvorska 168,Vrbanja,32254,Vukovar-Syrmia,Croatia,EU-EFTA,RM,CP SH,Y,porcine,CP - Cutting Plant | SH - Slaughterhouse,,
2420,Dr. ŠKOBIĆ d.o.o.,Gornji Kraj 11,Samobor,10430,Zagreb County,Croatia,EU-EFTA,RM,CP,N,bovine caprine ovine porcine equine,CP - Cutting Plant,,
HR 3758,Dujmić d.o.o,Prilesje 61A,Prilesje,10340,Zagreb County,Croatia,EU-EFTA,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
4079,FAUSTINA 05 d.o.o.,Put Duja 1B,Split,21000,Split-Dalmatia,Croatia,EU-EFTA,RM,CP,N,bovine porcine,CP - Cutting Plant,,
549,FIVAS d.o.o.,Selina 2,Čavle,51107,Primorje-Gorski Kotar,Croatia,EU-EFTA,RM,CP,N,bovine caprine ovine porcine equine,CP - Cutting Plant,,
203,FIVAS d.o.o.,"Cubinec 28, Cubinec",Križevci,48260,Koprivnica-Križevci,Croatia,EU-EFTA,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
3383,HISTRIS D.o.o.,Dajčići 97,Sveti Petar u Šumi,52404,Istria,Croatia,EU-EFTA,RM,CP,N,ovine porcine caprine bovine,CP - Cutting Plant,,
1394,IGO-MAT d.o.o.,Otruševec 15A,Bregana,10432,Zagreb County,Croatia,EU-EFTA,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
703,INTER-DELTA d.o.o.,Magdalenska ulica 29,Koprivnica,48000,Koprivnica-Križevci,Croatia,EU-EFTA,RM,CP,N,bovine porcine,CP - Cutting Plant,,
889,"ISTARSKI PRŠUT DUJMOVIĆ, vl. Nada Dujmović",Kučići 109,Tinjan,52444,Istria,Croatia,EU-EFTA,RM,CP,N,porcine,CP - Cutting Plant,,
HR 286 EU,Ivan Božić d.o.o.,Prisoje 2,Dicmo,21232,Split-Dalmatia,Croatia,EU-EFTA,RM,SH,Y,bovine caprine ovine porcine,SH - Slaughterhouse,,
3490,Ivor Stanivuković,Bukovačka ulica 17,Novska,44330,Sisak-Moslavina,Croatia,EU-EFTA,RM,CP,N,bovine porcine,CP - Cutting Plant,,
895,JADRI - TRADE D.o.o.,Švica 152,Otočac,53220,,Croatia,EU-EFTA,RM,CP SH,Y,ovine equine caprine porcine bovine,Lika-Senj | CP - Cutting Plant | SH - Slaughterhouse,,
3648,JASMIN HAVIĆ,"Slavonskac 41, Šušnjevci",Garčin,35212,,Croatia,EU-EFTA,RM,CP SH,Y,ovine,Brod-Posavina | CP - Cutting Plant | SH - Slaughterhouse,,
1120,JELENIĆ d.o.o.,Slavčići 177,Sveti Petar u Šumi,52404,Istria,Croatia,EU-EFTA,RM,CP,N,bovine porcine,CP - Cutting Plant,,
183,"KALINIĆ K+J, klaonica, prerada i trgovina, vl. Klementina Margetić",Sveti Đurađ 231a,Virovitica,33000,Virovitica-Podravina,Croatia,EU-EFTA,RM,CP SH,Y,bovine caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
70,"KALINSKI TRGOVINA, KLAONICA, PRERADA MESA I UGOSTITELJSTVO, Vlasnica Višnja Kalinski",Gradečki Pavlovec 164,Gradečki Pavlovec,10345,Zagreb County,Croatia,EU-EFTA,RM,CP SH,Y,bovine caprine porcine ovine,CP - Cutting Plant | SH - Slaughterhouse,,
769,"KARALIĆ, vl. Darko Karalić","J.J.Strossmayera 54, 32272 Cerna",Cerna,,Vukovar-Syrmia,Croatia,EU-EFTA,RM,CP SH,Y,bovine caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
849,KAZNIONICA U LIPOVAČI - POPOVAČI,Lipovečka 22,Popovača,44317,Sisak-Moslavina,Croatia,EU-EFTA,RM,SH,Y,caprine ovine porcine,SH - Slaughterhouse,,
HR 605 EU,KING OF ANIMALS j.d.o.o.,Kralja Tomislava 35,Novska,44330,Sisak-Moslavina,Croatia,EU-EFTA,RM,CP SH,Y,bovine caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
25,"KLAONICA 25, KRUPNE I SITNE STOKE VL. DRAGO DROPUČIĆ",ČREČAN 10,Sveti Ivan Zelina,10380,Zagreb County,Croatia,EU-EFTA,RM,CP SH,Y,bovine caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
21,KLAONICA 32 D.o.o.,Nikole Kramarića 32,Velika Mlaka,10408,Zagreb County,Croatia,EU-EFTA,RM,CP SH,Y,bovine caprine ovine equine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
HR 21 EU,KLAONICA 32 d.o.o.,Nikole Kramarića 32,Velika Mlaka,10408,Zagreb County,Croatia,EU-EFTA,RM,CP SH,Y,bovine caprine ovine porcine equine,CP - Cutting Plant | SH - Slaughterhouse,,
2929,"KLAONICA CESARICA br. 802, vl. Robert Čačić",Bana Josipa Jelačića 9,Gospić,53000,,Croatia,EU-EFTA,RM,CP,N,bovine caprine ovine porcine,Lika-Senj | CP - Cutting Plant,,
899,KLAONICA MIHALINEC D.O.O.,DUBROVAČKA CESTA 19/1,Donja Pušća,10294,Zagreb County,Croatia,EU-EFTA,RM,SH,Y,bovine caprine ovine equine porcine,SH - Slaughterhouse,,
618,"KLAONICA obrt za usluge i proizvodnju, vl. Tihomir Lorković",Vinski Vrh 68c,Netretić,47271,Karlovac,Croatia,EU-EFTA,RM,SH,Y,bovine caprine ovine porcine,SH - Slaughterhouse,,
3727,KRAJČINE d.o.o.,"Cret Viljevski, Ulica Kralja Tomislava",Viljevo,31531,Osijek-Baranja,Croatia,EU-EFTA,RM,CP SH,Y,bovine caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
285,"KUDE obrt, vl. Ante Galić",Put Steljka 1,Trilj,21240,Split-Dalmatia,Croatia,EU-EFTA,RM,CP SH,Y,bovine caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
719,KUDELIĆ d.o.o.,Bedenica 50a 10 381,Bedenica,,Zagreb County,Croatia,EU-EFTA,RM,SH CP,Y,bovine caprine ovine equine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
631,Klaonica Bilić vl. Ivica i Ante Bilić,"Put Strinje 70, 21212 Kaštel Sućurac",Kaštela,21000,Split-Dalmatia,Croatia,EU-EFTA,RM,SH,Y,bovine caprine ovine porcine equine,SH - Slaughterhouse,,
3340,"Klaonica CESARICA Br. 802, Vl. Robert Čačić",Ostrvica 58,Lički Osik,53201,,Croatia,EU-EFTA,RM,SH,Y,porcine bovine ovine caprine,Lika-Senj | SH - Slaughterhouse,,
3699,Klaonica Lešić j.d.o.o.,31411 Dragotin 8,Trnava,35000,Osijek-Baranja,Croatia,EU-EFTA,RM,SH,Y,porcine bovine caprine ovine,SH - Slaughterhouse,,
1006,Klaonica i prerada mesa Braca Palic,Paukovecka cesta 36,Goričica,10382,Zagreb County,Croatia,EU-EFTA,RM,CP SH,Y,caprine ovine equine porcine bovine,CP - Cutting Plant | SH - Slaughterhouse,,
3099,LOVSKI d.o.o.,Franje Vidovića 59D,Čazma,43240,Bjelovar-Bilogora,Croatia,EU-EFTA,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
924,"M.T.O. MESNICA, vl. VLADIMIR TANGAR",Put Jazvina 16,Trogir,21220,Split-Dalmatia,Croatia,EU-EFTA,RM,SH,Y,bovine caprine ovine porcine,SH - Slaughterhouse,,
596,MARTINJAK D.O.O.,ZADRKOVEC 41,Komin,10383,Zagreb County,Croatia,EU-EFTA,RM,CP SH,Y,bovine caprine ovine equine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
858,MAT GRUPA d.o.o.,"Vidikovac 44, 43000 Bjelovar",Bjelovar,43000,Bjelovar-Bilogora,Croatia,EU-EFTA,RM,SH,Y,bovine caprine ovine porcine equine,SH - Slaughterhouse,,
1016,MEL-JAKOV LOVRIĆ T.P.,Hrvace b.b.,Hrvace,21233,Split-Dalmatia,Croatia,EU-EFTA,RM,CP SH,Y,bovine caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
1260,"MESARNICA IKIĆ, vl. Mate Ikić",Gorica 152,Sukošan,23206,Zadar County,Croatia,EU-EFTA,RM,CP SH,Y,bovine caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
1398,MESARSKI OBRT ŠTEVANJA,"Dr. Franje Tuđmana 13, Glavica-Gorica",Sukošan,23206,Zadar County,Croatia,EU-EFTA,RM,SH,Y,bovine caprine ovine porcine,SH - Slaughterhouse,,
1106,"MESARSKO - TRGOVAČKI OBRT MESNICA LEPUR, VL. DRAŽEN LEPUR",DONJI LEPURI 36 A,Benkovac,23104,Zadar County,Croatia,EU-EFTA,RM,CP SH,Y,bovine caprine porcine ovine,CP - Cutting Plant | SH - Slaughterhouse,,
1165,MESARSKO TRGOVAČKI OBRT ''BINGULA'',TRG GROFOVA ERDODYA 2,Popovača,44317,Sisak-Moslavina,Croatia,EU-EFTA,RM,CP SH,Y,bovine caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
3644,MESNA INDUSTRIJA BRAĆA PIVAC d.o.o.,Gospodarska ulica 1 i 3,Ravča,21276,Split-Dalmatia,Croatia,EU-EFTA,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
3,MESNA INDUSTRIJA BRAĆA PIVAC d.o.o.,Selce 33,Karlovac,47000,Karlovac,Croatia,EU-EFTA,RM,CP,N,,CP - Cutting Plant,,
1193,MESNA INDUSTRIJA ŠAKIĆ d.o.o.,Vlasača 6,Šestanovac,21250,Split-Dalmatia,Croatia,EU-EFTA,RM,CP SH,Y,bovine caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
