approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
263,A P M,7000 ZARZOUNA BIZERTE,Port De Zarzouna,,Bizerte,Tunisia,third-country,FFP,PP,,,PP - Processing Plant,07/07/2025,
ZV-04-079,ABDALLAH SF 2794,Nouveau port de pêche de Sfax,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-141,ABDELHAMID SF 1764,NOUVEAU PORT DE PECHE DE SFAX,Sfax,3000,Sfax; 8360822	19/01/2024,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-072,ABDELJAOUED SF 3011,SFAX,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-010,ABDERRAHMEN SF 2213,,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-100,ADEL SF 1785,SFAX,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-164,ADEM KARIM SF 3214,Nouveau port de peche de SFAX,Sfax,3000,Sfax; 1102441	27/01/2025,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-163,AHMED CHOKRI SF 2244,Nouveau port de peche de SFAX,Sfax,3000,Sfax; 8451229	28/01/2025,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-131,AHMED RIDHA SF 2164,NOUVEAU PORT DE PECHE DE SFAX,Sfax,3000,Sfax; 8437467	20/02/2024,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-089,AHMED SABRI SF 2180,SFAX,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-024,AHMED SF 2243,NOUVEAU PORT DE PÊCHE DE SFAX,Sfax,3000,Sfax; 8356857	04/11/2024,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-102,AHMED YASSINE SF 2970,Nouveau port de peche de Sfax,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-02-20,AJIM BI 827,"Port de peche de ZARZOUNA ,CP 7021",Port De Zarzouna,,Bizerte; 1154042	20/02/2026,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-142,AL MOUHIB 2 SF 1847,NOUVEAU PORT DE PECHE DE SFAX,Sfax,3000,Sfax; 8448260	20/02/2024,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
738,ALAEDDINE MA 1039,3000 MAHDIA,Mahdia,3000,Mahdia; 8437792	16/09/2024,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-070,ALI ABED SF 2259,,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-078,ALI II SF 2115,Nouveau port de pêche de Sfax,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-077,ALI KARRAY SF 2202,Nouveau port de pêche de Sfax,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-129,AMEL 1 SF 1451,SFAX,Sfax,3000,Sfax; 8588400	31/03/2023,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-088,AMEL III SF 1463,SFAX,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-175,AMEN ALLAH II SF2521,Noveau port de pêche de SFAX,Sfax,3000,Sfax; 8454893	23/07/2026,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-06-002,AMENALLAH MO 969,MONASTIR,Monastir,3000,Monastir,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-03-006,AMINE EL BAHER NA 452,NABEUL,Kelibia,1001,Nabeul,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-101,ANES SF 1565,Nouveau port de peche de Sfax,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-02-003,ANISSA II SF 3004,ZARZOUNA,جرزونة,7000,Bizerte,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
631,AQUASUD,MONASTIR,Bekalta,5009,Monastir,Tunisia,third-country,FFP,PP,,,PP - Processing Plant,,
PP-04-012,ASP INTERNATIONAL,SFAX,Sfax,3000,Sfax,Tunisia,third-country,FFP,PP,,,PP - Processing Plant,,
ZV-04-137,AYEMEN KARIM SF 2385,NOUVEAU PORT DE PECHE DE SFAX,Sfax,3000,Sfax; 8360810	19/01/2024,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-109,AYMEN SF 2992,Nouveau port de pêche de Sfax,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-153,AYOUB EL BAHR MO862,Nouveau port de peche de Sfax,Sfax,3000,Sfax; 8462400	28/01/2025,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
448,Abdelwaheb SF 2237,"Nouveau Port de pêche, CP 3063",Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
163,Abderahim TG 1038,,La Goulette,1001,Tunis,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-027,Achraf SF 1694,Nouveau port de pêche,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
487,Adel MA 346,"Nouveau Port de pêche, CP 3063",Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-051,Adham Sassi SF 2270,,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
453,Adlen SF 2100,"Nouveau Port de pêche, CP 3063",Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
321,Agri Business Compagny,"Nabeul, Sidi Daoud, CP 8050",Nabeul,1001,Nabeul,Tunisia,third-country,FFP,PP,,,PP - Processing Plant,,
405,Ahmed Amine SF 2111,,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-032,Ahmed Karim SF 2201,,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
400,Ahmed Kheireddine,"Nouveau port de pêche, CP 3063",Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
422,Ahmed Mahmoud SF 1611,"Nouveau port de pêche, CP 3063",Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
496,Ahmed Mohamed SF2149,"Nouveau Port de pêche, CP 3063",Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
459,Ahmed Samir SF 2303,"Nouveau Port de pêche, CP 3063",Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
432,Albatros SF 2782,"Nouveau port de pêche, 3063",Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
454,Ali Hédi SF 2218,"Nouveau Port de pêche, CP 3063",Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-037,Ali Nouri SF 2093,,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-014,Ali SF 1753,Nouveau port de pêche,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
490,Amal SF 2137,"Nouveau Port de pêche, CP 3063",Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-025,Amen Allah SF 2113,Nouveau port de pêche,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-016,Attitallah II SF 1768,Nouveau port de pêche,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-011,Ayed SF 2234,Nouveau port de pêche,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
110,Azapesca,Z.I charguia 1,Tunis,1082,Tunis,Tunisia,third-country,FFP,PP,,,PP - Processing Plant,,
ZV-04-001,Aziz SF 2114,Nouveau port de pêche,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-071,BAATI SF 2261,Nouveau port de pêche de Sfax,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-03-007,BAHRI NA 0340,PORT DE PECHE KELIBIA TUNISIE,Kelibia,8090,Nabeul; 8470043	07/04/2026,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-134,BEN HMID SF 2453,NOUVEAU PORT DE PECHE DE SFAX,Sfax,3000,Sfax; 8596213	19/01/2024,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
257,BENAFOOD,ZARZOUNA,Bizerte,1001,Bizerte,Tunisia,third-country,FFP,PP,,,PP - Processing Plant,,
ZV-02-004,BENI HASSEN BI 492,ZARZOUNA,جرزونة,7000,Bizerte,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
CP -05-025 FILIALE 2,BK FOOD FILIALE 2,SOUSSE,سيدي الهاني,3172,Sousse,Tunisia,third-country,FFP,PP,,,PP - Processing Plant,07/07/2025,
745,BK FOOD INTERNATIONAL,ZI EL JEM,Mahdia,3000,Mahdia,Tunisia,third-country,FFP,PP,,,PP - Processing Plant,19/08/2025,
798,BK FOOD INTERNATIONAL FILIALE 1,"EL JEM, MAHDIA",El Jem,5000,Mahdia,Tunisia,third-country,FFP,PP,,,PP - Processing Plant,23/07/2026,
508,BK Food,"Zone Industrielle de Sidi Héni, CP 4025",Sidi Henri,,Sousse,Tunisia,third-country,FFP,PP,,,PP - Processing Plant,,
259,BLUE N'FRESH,Pole technologique agro-alimentaire MENZEL ABDERRAHMEN,Menzel Jemil,,Bizerte,Tunisia,third-country,FFP,PP,,,PP - Processing Plant,28/10/2022,
ZV-04-165,BORHAN SF 1666,NOUVEAU PORT DE PECHE DE SFAX,Sfax,3000,Sfax; 8463131	14/07/2025,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-021,Bassem SF 2119,Nouveau port de pêche,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
210,Ben Ayed Distribution Des Produits De La Mer,Port de Peche de Zarzouna,جرزونة,7000,Bizerte,Tunisia,third-country,FFP,PP,,,PP - Processing Plant,,
446,Ben Moussa SF 2030,"Nouveau Port de pêche, CP 3063",Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
PP-04-003,Bena Pesca,port de pêche sfax,Sfax,3000,Sfax,Tunisia,third-country,FFP,PP,,,PP - Processing Plant,,
ZV-04-063,Borhane Mahmoud SF 2258,,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
220,Bosco Tunisia,"Ain Bitar, CP 7080",Menzel Jemil,,Bizerte,Tunisia,third-country,FFP,PP,,,PP - Processing Plant,,
462,Béchir SF 2129,"Nouveau Port de pêche, CP 3063",Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
297,CAP BLANC D'EXPORTATION,BIZERTE,جرزونة,7000,Bizerte,Tunisia,third-country,FFP,PP,,,PP - Processing Plant,,
ZV-04-091,CARTHAGE TG 601,SFAX,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-148,CHAKER LELLAH SF 2254,SFAX,Sfax,3000,Sfax; 8450275	20/02/2024,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
260,COHAPROM,7000 ZARZOUNA,Port De Zarzouna,,Bizerte,Tunisia,third-country,FFP,PP,,,PP - Processing Plant,19/08/2024,
1036,COPROD,ZARZIS,Zarzis,4170,Médenine,Tunisia,third-country,FFP,PP,,,PP - Processing Plant,,
342,CYBELE. SA,BENI KHIAR,Béni Khiar,1001,Nabeul,Tunisia,third-country,FFP,PP,,,PP - Processing Plant,,
622,Cap Saisons,,Bkalta,,Monastir,Tunisia,third-country,FFP,PP,,,PP - Processing Plant,,
455,Carthage SF 1900,"Nouveau Port de pêche, CP 3063",Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-008,Chiheb NA 180,Nouveau port de pêche,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
431,Chokri Slah II SF 2032,"Nouveau Port de pêche, CP 3063",Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
618,Complexe Frigorifique El Mustapha,,Téboulba,5080,Monastir,Tunisia,third-country,FFP,PP,,,PP - Processing Plant,,
PP-04-002,Congemer Plus,Z.I Madagascar Rue Ibn Battouta Sfax,Sfax,3000,Sfax,Tunisia,third-country,FFP,PP,,,PP - Processing Plant,,
456,DAGHBAGI SF 1859,SFAX,Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-04-115,DIEGO TG 634,SFAX,Sfax,3000,Sfax; 8588773	09/11/2022,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
1038,DJERBA FISH EXPORT,AJIM-DJERBA,Medenine,4100,Médenine,Tunisia,third-country,FFP,PP,,,PP - Processing Plant,05/01/2022,
ZV-02-006,DJERBA MA 1010,ZARZOUNA,جرزونة,7000,Bizerte; 8570300	11/01/2022,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-06-001,DOGUI I MO 1019,MONASTIR,Monastir,3000,Monastir,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
ZV-02-014,DORAID MO 1525,ZARZOUNA-BIZERTE,Port De Zarzouna,,Bizerte; 8587793	09/11/2022,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
452,Daghbaji SF 2128,"Nouveau Port de pêche, CP 3063",Sfax,3000,Sfax,Tunisia,third-country,FFP,ZV,,,ZV - Freezer Vessel,,
